degree,in_count,out_count
0,1424,531
1,1693,1178
2,549,1352
3,300,447
4,180,328
5,157,234
6,126,202
7,70,133
8,53,95
9,44,76
10,46,70
11,27,56
12,32,50
13,25,44
14,30,37
15,11,28
16,19,16
17,18,16
18,18,12
19,9,9
20,13,8
21,5,7
22,10,3
23,14,11
24,10,6
25,7,9
26,11,5
27,9,4
28,2,3
29,3,1
30,5,2
31,8,2
32,6,1
33,3,0
34,2,1
35,4,2
36,4,1
37,1,2
38,4,2
40,1,0
41,1,0
42,3,1
44,1,2
45,2,1
46,2,0
47,1,0
48,0,1
49,1,0
50,1,1
51,2,1
52,0,1
53,2,0
54,3,0
56,1,0
58,1,0
61,1,0
62,3,0
64,0,1
68,2,0
74,1,0
79,1,0
81,1,0
83,1,1
84,1,0
87,1,0
88,1,0
89,0,1
94,1,0
101,0,1
105,1,0
108,0,1
109,1,0
120,1,0
137,1,1
138,1,0
140,1,0
162,1,0
199,0,1
231,0,1
251,1,0
271,1,0
534,1,0
537,1,0
549,1,0
